lastaddress,m_originalstate,w_assemblycenter,m_camp,pop,lastaddress_lat,lastaddress_lng,w_assemblycenter_lat,w_assemblycenter_lng,m_camp_lat,m_camp_lng
Santa Paula,CA,Sacramento (Walerga),Tulelake,1,34.3521,-119.0698,0.0,0.0,41.8833,-121.3667
South Gate,CA,Salinas,Poston,1,33.9448,-118.1926,36.6667,-121.65,34.15,-114.2833
Oahu,HI,Sacramento (Walerga),Tulelake,1,0.0,0.0,0.0,0.0,41.8833,-121.3667
Puyallup,WA,None,Tulelake,1,47.1794,-122.2902,0.0,0.0,41.8833,-121.3667
Oceanside,CA,Santa Anita,Heartmountain,1,33.2247,-117.3083,34.1333,-118.0333,44.5167,-109.05
Oceanside,CA,Santa Anita,Jerome,1,33.2247,-117.3083,34.1333,-118.0333,33.3833,-91.4667
Poughkeepsie,NY,Manzanar,Manzanar,1,41.6949,-73.921,36.7333,-118.0667,36.7333,-118.0667
Signal Hill,CA,Fresno,Jerome,1,33.8029,-118.1681,36.7333,-119.7667,33.3833,-91.4667
Palo Alto,CA,Tulare,Gilariver,1,37.3913,-122.1468,36.2,-119.3333,32.1667,-111.8667
Shelly,ID,None,Topaz,1,0.0,0.0,0.0,0.0,39.3833,-112.7167
Pasco,WA,None,Minidoka,1,46.2506,-119.1304,0.0,0.0,42.6667,-114.2333
Pasco,WA,Portland,Minidoka,1,46.2506,-119.1304,45.5167,-122.6667,42.6667,-114.2333
Pocatello,ID,Santa Anita,Rohwer,1,42.8724,-112.4646,34.1333,-118.0333,33.75,-91.2667
Pleasanton,CA,Stockton,Rohwer,1,37.6663,-121.8805,37.95,-121.2833,33.75,-91.2667
Selma,CA,Santa Anita,Gilariver,1,36.5715,-119.6143,34.1333,-118.0333,32.1667,-111.8667
Selma,CA,Salinas,Poston,1,36.5715,-119.6143,36.6667,-121.65,34.15,-114.2833
Selma,CA,Sacramento (Walerga),Tulelake,1,36.5715,-119.6143,0.0,0.0,41.8833,-121.3667
Selma,CA,Pomona,Heartmountain,1,36.5715,-119.6143,34.05,-117.75,44.5167,-109.05
Paso Robles,CA,Santa Anita,Heartmountain,1,0.0,0.0,34.1333,-118.0333,44.5167,-109.05
Selma,CA,None,Topaz,1,36.5715,-119.6143,0.0,0.0,39.3833,-112.7167
Paso Robles,CA,Tulare,Gilariver,1,0.0,0.0,36.2,-119.3333,32.1667,-111.8667
Pleasanton,CA,Pomona,Heartmountain,1,37.6663,-121.8805,34.05,-117.75,44.5167,-109.05
Philadelphia,PA,None,Topaz,1,40.0077,-75.1339,0.0,0.0,39.3833,-112.7167
Phoenix,AZ,Salinas,Poston,1,33.5722,-112.0891,36.6667,-121.65,34.15,-114.2833
Seattle,WA,Pomona,Heartmountain,1,47.6211,-122.3244,34.05,-117.75,44.5167,-109.05
