lastaddress,m_originalstate,w_assemblycenter,m_camp,pop,lastaddress_lat,lastaddress_lng,w_assemblycenter_lat,w_assemblycenter_lng,m_camp_lat,m_camp_lng
Sunnyvale,CA,Santa Anita,Amache,1,37.3836,-122.0256,34.1333,-118.0333,38.05,-102.3
Sacramento,CA,None,Minidoka,1,38.5667,-121.4683,0.0,0.0,42.6667,-114.2333
Madera,CA,Turlock,Gilariver,1,36.9631,-120.0782,37.4833,-120.8333,32.1667,-111.8667
Manteca,CA,Merced,Amache,1,37.7927,-121.2264,37.3,-120.4667,38.05,-102.3
Royal,UT,Portland,Minidoka,1,0.0,0.0,45.5167,-122.6667,42.6667,-114.2333
Santa Barbara,CA,Tulare,Manzanar,1,34.4285,-119.7202,36.2,-119.3333,36.7333,-118.0667
Manteca,CA,None,Manzanar,1,37.7927,-121.2264,0.0,0.0,36.7333,-118.0667
Ross,CA,Santa Anita,Topaz,1,37.9638,-122.5615,34.1333,-118.0333,39.3833,-112.7167
Sunnyvale,CA,Stockton,Rohwer,1,37.3836,-122.0256,37.95,-121.2833,33.75,-91.2667
Manteca,CA,None,Tulelake,1,37.7927,-121.2264,0.0,0.0,41.8833,-121.3667
Ross,CA,Santa Anita,Rohwer,1,37.9638,-122.5615,34.1333,-118.0333,33.75,-91.2667
Manteca,CA,Stockton,Manzanar,1,37.7927,-121.2264,37.95,-121.2833,36.7333,-118.0667
Manteca,CA,Stockton,Minidoka,1,37.7927,-121.2264,37.95,-121.2833,42.6667,-114.2333
Manteca,CA,Stockton,Topaz,1,37.7927,-121.2264,37.95,-121.2833,39.3833,-112.7167
Sultan,WA,Puyallup,Tulelake,1,47.871,-121.8043,47.1833,-122.2833,41.8833,-121.3667
Ross,CA,Pomona,Heartmountain,1,37.9638,-122.5615,34.05,-117.75,44.5167,-109.05
Marysville,CA,Fresno,Tulelake,1,39.1518,-121.5835,36.7333,-119.7667,41.8833,-121.3667
Ross,CA,None,Topaz,1,37.9638,-122.5615,0.0,0.0,39.3833,-112.7167
Marysville,CA,None,Poston,1,39.1518,-121.5835,0.0,0.0,34.15,-114.2833
Maui,HI,None,Manzanar,1,0.0,0.0,0.0,0.0,36.7333,-118.0667
San Joaquin,CA,Stockton,Topaz,1,36.6057,-120.1897,37.95,-121.2833,39.3833,-112.7167
Maui,HI,Santa Anita,Gilariver,1,0.0,0.0,34.1333,-118.0333,32.1667,-111.8667
Sunnyvale,CA,Manzanar,Tulelake,1,37.3836,-122.0256,36.7333,-118.0667,41.8833,-121.3667
Merced,CA,Mayer,Topaz,1,37.3057,-120.4778,34.3833,-112.2333,39.3833,-112.7167
Sunnyvale,CA,Fresno,Heartmountain,1,37.3836,-122.0256,36.7333,-119.7667,44.5167,-109.05
Mesa,AZ,None,Poston,1,33.4017,-111.718,0.0,0.0,34.15,-114.2833
Santa Clara,CA,Tanforan,Topaz,1,37.3645,-121.968,37.6167,-122.4,39.3833,-112.7167
Zillah,WA,Santa Anita,Rohwer,1,46.4084,-120.2725,34.1333,-118.0333,33.75,-91.2667
