lastaddress,m_originalstate,w_assemblycenter,m_camp,pop,lastaddress_lat,lastaddress_lng,m_camp_lat,m_camp_lng
Oakland,CA,Santa Anita,Gilariver,1,37.7903,-122.2165,32.1667,-111.8667
Santa Paula,CA,Santa Anita,Jerome,1,34.3521,-119.0698,33.3833,-91.4667
South Gate,CA,Manzanar,Heartmountain,1,33.9448,-118.1926,44.5167,-109.05
South Gate,CA,Manzanar,Amache,1,33.9448,-118.1926,38.05,-102.3
Oakland,CA,Santa Anita,Rohwer,1,37.7903,-122.2165,33.75,-91.2667
South Bend,WA,Santa Anita,Heartmountain,1,46.6678,-123.8006,44.5167,-109.05
Redlands,CA,Santa Anita,Jerome,1,34.0511,-117.1712,33.3833,-91.4667
Redlands,CA,Santa Anita,Heartmountain,1,34.0511,-117.1712,44.5167,-109.05
Oakland,CA,Tanforan,Manzanar,1,37.7903,-122.2165,36.7333,-118.0667
Oceanside,CA,Marysville (Arboga),Tulelake,1,33.2247,-117.3083,41.8833,-121.3667
Puyallup,WA,Portland,Tulelake,1,47.1794,-122.2902,41.8833,-121.3667
Oceanside,CA,None,Manzanar,1,33.2247,-117.3083,36.7333,-118.0667
Sonora,CA,None,Tulelake,1,37.9819,-120.3828,41.8833,-121.3667
Santa Rosa,CA,Fresno,Amache,1,38.4458,-122.7067,38.05,-102.3
Sonoma,CA,Tanforan,Topaz,1,38.2902,-122.4598,39.3833,-112.7167
Sonoma,CA,Santa Anita,Heartmountain,1,38.2902,-122.4598,44.5167,-109.05
Oakland,CA,Merced,Tulelake,1,37.7903,-122.2165,41.8833,-121.3667
Oakland,CA,Mayer,Topaz,1,37.7903,-122.2165,39.3833,-112.7167
San Mateo,CA,Pomona,Heartmountain,1,37.5521,-122.3122,44.5167,-109.05
Oahu,HI,Stockton,Rohwer,1,21.473,-157.9868,33.75,-91.2667
Spokane,WA,Pomona,Amache,1,47.6671,-117.433,38.05,-102.3
Riverside,CA,Pomona,Heartmountain,1,33.9381,-117.3948,44.5167,-109.05
